Name,KBTO.214b - 1,KBTO.214b - 2
14A018_KBTO.214_KBTO.010_A03,160,172
14A018_KBTO.214b_A05,160,172
14A037_KBTO.214_KBTO.010_B03,164,172
14A037_KBTO.214b_B05,164,172
14A038_KBTO.214_KBTO.010_C03,172,176
14A038_KBTO.214b_C05,172,176
14A039_KBTO.214_KBTO.010_D03,164,172
14A039_KBTO.214b_D05,164,172
14A040_KBTO.214_KBTO.010_E03,164,168
14A040_KBTO.214b_E05,164,168
14A041_KBTO.214_KBTO.010_F03,160,164
14A041_KBTO.214b_F05,160,164
14A042_KBTO.214_KBTO.010_G03,164,164
14A042_KBTO.214b_G05,164,164
14A043_KBTO.214_KBTO.010_H03,172,172
14A043_KBTO.214b_H05,172,172
14A044_KBTO.214_KBTO.010_A08,No peaks,No peaks
14A044_KBTO.214b_A06,164,172
14A045_KBTO.214_KBTO.010_B08,164,164
14A045_KBTO.214b_B06,164,164
14A046_KBTO.214_KBTO.010_C08,172,172
14A046_KBTO.214b_C06,172,172
14A047_KBTO.214_KBTO.010_D08,164,168
14A047_KBTO.214b_D06,164,168
14A048_KBTO.214_KBTO.010_E08,164,164
14A048_KBTO.214b_E06,No peaks,No peaks
17H030_KBTO.214_KBTO.010_F08,160,168
17H030_KBTO.214b_F06,160,168
17H060_KBTO.214_KBTO.010_G08,160,164
17H060_KBTO.214b_G06,160,164


