Name,KBTO.144b - 1,KBTO.144b - 2
14A018_KBTO.144b_A01,252,260
14A018_KBTO.150g_KBTO.144b_A03,252,260
14A018_KBTO.150g_KBTO.144b_A11,252,260
14A037_KBTO.144b_B01,240,256
14A037_KBTO.150g_KBTO.144b_B03,240,256
14A037_KBTO.150g_KBTO.144b_B11,240,256
14A038_KBTO.144b_C01,240,256
14A038_KBTO.150g_KBTO.144b_C03,240,256
14A038_KBTO.150g_KBTO.144b_C11,No peaks,No peaks
14A039_KBTO.144b_D01,248,248
14A039_KBTO.150g_KBTO.144b_D03,248,248
14A039_KBTO.150g_KBTO.144b_D11,248,248
14A040_KBTO.144b_E01,248,256
14A040_KBTO.150g_KBTO.144b_E03,248,256
14A040_KBTO.150g_KBTO.144b_E11,248,256
14A041_KBTO.144b_F01,232,240
14A041_KBTO.150g_KBTO.144b_F03,232,240
14A041_KBTO.150g_KBTO.144b_F11,232,240
14A042_KBTO.144b_G01,260,260
14A042_KBTO.150g_KBTO.144b_G03,260,260
14A042_KBTO.150g_KBTO.144b_G11,260,260
14A043_KBTO.144b_H01,248,248
14A043_KBTO.150g_KBTO.144b_H03,248,248
14A043_KBTO.150g_KBTO.144b_H11,248,248
14A044_KBTO.144b_A02,240,240
14A044_KBTO.150g_KBTO.144b_A04,240,240
14A044_KBTO.150g_KBTO.144b_A12,240,240
14A045_KBTO.144b_B02,240,240
14A045_KBTO.150g_KBTO.144b_B04,240,240
14A045_KBTO.150g_KBTO.144b_B12,240,240
14A046_KBTO.144b_C02,256,256
14A046_KBTO.150g_KBTO.144b_C04,256,256
14A046_KBTO.150g_KBTO.144b_C12,256,256
14A047_KBTO.144b_D02,240,240
14A047_KBTO.150g_KBTO.144b_D04,240,240
14A047_KBTO.150g_KBTO.144b_D12,240,240
14A048_KBTO.144b_E02,240,240
14A048_KBTO.150g_KBTO.144b_E04,240,240
14A048_KBTO.150g_KBTO.144b_E12,240,240
17H030_KBTO.144b_F02,232,232
17H030_KBTO.150g_KBTO.144b_F04,232,232
17H030_KBTO.150g_KBTO.144b_F12,232,232
17H060_KBTO.144b_G02,232,232
17H060_KBTO.150g_KBTO.144b_G04,232,232
17H060_KBTO.150g_KBTO.144b_G12,232,232


