Name,KBTO.222b - 1,KBTO.222b - 2
14A018_KBTO.222_KBTO.011_A01,250,258
14A018_KBTO.222b_A01,250,258
14A037_KBTO.222_KBTO.011_B01,250,266
14A037_KBTO.222b_B01,250,266
14A038_KBTO.222_KBTO.011_C01,250,266
14A038_KBTO.222b_C01,250,266
14A039_KBTO.222_KBTO.011_D01,262,266
14A039_KBTO.222b_D01,262,266
14A040_KBTO.222_KBTO.011_E01,250,250
14A040_KBTO.222b_E01,250,250
14A041_KBTO.222_KBTO.011_F01,250,266
14A041_KBTO.222b_F01,250,266
14A042_KBTO.222_KBTO.011_G01,250,262
14A042_KBTO.222b_G01,250,262
14A043_KBTO.222_KBTO.011_H01,270,270
14A043_KBTO.222b_H01,270,270
14A044_KBTO.222_KBTO.011_A06,266,270
14A044_KBTO.222b_A02,266,270
14A045_KBTO.222_KBTO.011_B06,266,270
14A045_KBTO.222b_B02,266,270
14A046_KBTO.222_KBTO.011_C06,262,270
14A046_KBTO.222b_C02,262,270
14A047_KBTO.222_KBTO.011_D06,250,250
14A047_KBTO.222b_D02,250,250
14A048_KBTO.222_KBTO.011_E06,254,254
14A048_KBTO.222b_E02,254,254
17H030_KBTO.222_KBTO.011_F06,250,250
17H030_KBTO.222b_F02,250,250
17H060_KBTO.222_KBTO.011_G06,250,266
17H060_KBTO.222b_G02,250,266


