Name,KBTO.112b - 1,KBTO.112b - 2
14A018_KBTO.132g_KBTO.112b_A01,274,274
14A018_KBTO.132g_KBTO.112b_A09,274,274
14A037_KBTO.132g_KBTO.112b_B01,270,270
14A037_KBTO.132g_KBTO.112b_B09,270,270
14A038_KBTO.132g_KBTO.112b_C01,270,270
14A038_KBTO.132g_KBTO.112b_C09,270,270
14A039_KBTO.132g_KBTO.112b_D01,270,278
14A039_KBTO.132g_KBTO.112b_D09,270,278
14A040_KBTO.132g_KBTO.112b_E01,270,270
14A040_KBTO.132g_KBTO.112b_E09,270,270
14A041_KBTO.132g_KBTO.112b_F01,274,274
14A041_KBTO.132g_KBTO.112b_F09,274,274
14A042_KBTO.132g_KBTO.112b_G01,274,274
14A042_KBTO.132g_KBTO.112b_G09,274,274
14A043_KBTO.132g_KBTO.112b_H01,270,270
14A043_KBTO.132g_KBTO.112b_H09,270,270
14A044_KBTO.132g_KBTO.112b_A02,270,270
14A044_KBTO.132g_KBTO.112b_A10,270,270
14A045_KBTO.132g_KBTO.112b_B02,270,270
14A045_KBTO.132g_KBTO.112b_B10,270,270
14A046_KBTO.132g_KBTO.112b_C02,270,270
14A046_KBTO.132g_KBTO.112b_C10,270,270
14A047_KBTO.132g_KBTO.112b_D02,274,274
14A047_KBTO.132g_KBTO.112b_D10,274,274
14A048_KBTO.132g_KBTO.112b_E02,270,270
14A048_KBTO.132g_KBTO.112b_E10,270,270
17H030_KBTO.132g_KBTO.112b_F02,274,274
17H030_KBTO.132g_KBTO.112b_F10,274,274
17H060_KBTO.132g_KBTO.112b_G02,274,274
17H060_KBTO.132g_KBTO.112b_G10,274,274


