Name,KBTO.024b - 1,KBTO.024b - 2
14A018_KBTO.024_KBTO.107_A02,294,294
14A018_KBTO.024b_A03,294,294
14A037_KBTO.024_KBTO.107_B02,286,294
14A037_KBTO.024b_B03,286,294
14A038_KBTO.024_KBTO.107_C02,294,294
14A038_KBTO.024b_C03,294,294
14A039_KBTO.024_KBTO.107_D02,294,294
14A039_KBTO.024b_D03,294,294
14A040_KBTO.024_KBTO.107_E02,286,286
14A040_KBTO.024b_E03,286,286
14A041_KBTO.024_KBTO.107_F02,298,298
14A041_KBTO.024b_F03,298,298
14A042_KBTO.024_KBTO.107_G02,294,298
14A042_KBTO.024b_G03,294,298
14A043_KBTO.024_KBTO.107_H02,294,294
14A043_KBTO.024b_H03,294,294
14A044_KBTO.024_KBTO.107_A07,No peaks,No peaks
14A044_KBTO.024b_A04,302,302
14A045_KBTO.024_KBTO.107_B07,286,286
14A045_KBTO.024b_B04,286,286
14A046_KBTO.024_KBTO.107_C07,286,294
14A046_KBTO.024b_C04,286,294
14A047_KBTO.024_KBTO.107_D07,294,294
14A047_KBTO.024b_D04,294,294
14A048_KBTO.024_KBTO.107_E07,286,294
14A048_KBTO.024b_E04,286,294
17H030_KBTO.024_KBTO.107_F07,294,298
17H030_KBTO.024b_F04,294,298
17H060_KBTO.024_KBTO.107_G07,294,298
17H060_KBTO.024b_G04,294,298


