Name,KBTO.167b - 1,KBTO.167b - 2
14A018_KBTO.167b_A03,228,240
14A018_KBTO.255g_KBTO.167b_A05,228,240
14A037_KBTO.167b_B03,224,236
14A037_KBTO.255g_KBTO.167b_B05,224,236
14A038_KBTO.167b_C03,236,244
14A038_KBTO.255g_KBTO.167b_C05,236,244
14A039_KBTO.167b_D03,236,240
14A039_KBTO.255g_KBTO.167b_D05,236,240
14A040_KBTO.167b_E03,240,240
14A040_KBTO.255g_KBTO.167b_E05,240,240
14A041_KBTO.167b_F03,236,244
14A041_KBTO.255g_KBTO.167b_F05,236,244
14A042_KBTO.167b_G03,224,232
14A042_KBTO.255g_KBTO.167b_G05,224,232
14A043_KBTO.167b_H03,240,244
14A043_KBTO.255g_KBTO.167b_H05,240,244
14A044_KBTO.167b_A04,236,244
14A044_KBTO.255g_KBTO.167b_A06,236,244
14A045_KBTO.167b_B04,236,240
14A045_KBTO.255g_KBTO.167b_B06,236,240
14A046_KBTO.167b_C04,240,244
14A046_KBTO.255g_KBTO.167b_C06,240,244
14A047_KBTO.167b_D04,236,240
14A047_KBTO.255g_KBTO.167b_D06,236,240
14A048_KBTO.167b_E04,216,256
14A048_KBTO.255g_KBTO.167b_E06,216,256
17H030_KBTO.167b_F04,236,244
17H030_KBTO.255g_KBTO.167b_F06,236,244
17H060_KBTO.167b_G04,236,244
17H060_KBTO.255g_KBTO.167b_G06,236,244
blank_KBTO.167b_H04,No peaks,No peaks


