Name,KBTO.318b - 1,KBTO.318b - 2
14A018_KBTO.318b_A05,209,209
14A018_KBTO.333g_KBTO.318b_A07,209,209
14A037_KBTO.318b_B05,213,213
14A037_KBTO.333g_KBTO.318b_B07,213,213
14A038_KBTO.318b_C05,213,213
14A038_KBTO.333g_KBTO.318b_C07,No peaks,No peaks
14A039_KBTO.318b_D05,213,213
14A039_KBTO.333g_KBTO.318b_D07,213,213
14A040_KBTO.318b_E05,209,213
14A040_KBTO.333g_KBTO.318b_E07,No peaks,No peaks
14A041_KBTO.318b_F05,209,213
14A041_KBTO.333g_KBTO.318b_F07,209,213
14A042_KBTO.318b_G05,213,213
14A042_KBTO.333g_KBTO.318b_G07,213,213
14A043_KBTO.318b_H05,213,213
14A043_KBTO.333g_KBTO.318b_H07,213,213
14A044_KBTO.318b_A06,209,209
14A044_KBTO.333g_KBTO.318b_A08,209,209
14A045_KBTO.318b_B06,209,209
14A045_KBTO.333g_KBTO.318b_B08,209,209
14A046_KBTO.318b_C06,213,213
14A046_KBTO.333g_KBTO.318b_C08,213,213
14A047_KBTO.318b_D06,209,209
14A047_KBTO.333g_KBTO.318b_D08,209,209
14A048_KBTO.318b_E06,209,209
14A048_KBTO.333g_KBTO.318b_E08,209,209
17H030_KBTO.318b_F06,209,209
17H030_KBTO.333g_KBTO.318b_F08,No peaks,No peaks
17H060_KBTO.318b_G06,209,209
17H060_KBTO.333g_KBTO.318b_G08,209,209


