Name,VIC Locus 1 - 1,VIC Locus 1 - 2
KBTO_012015_06D06B_H08,263,263
KBTO_012015_06B07D_H03,,
KBTO_007014_06D06B_G08,263,263
KBTO_007014_06B07D_G03,263,263
KBTO_006013_06D06B_F08,262,262
KBTO_006013_06B07D_F03,263,263
KBTO_005012_06D06B_E08,,
KBTO_005012_06B07D_E03,263,263
KBTO_004011_06D06B_D08,263,263
KBTO_004011_06B07D_D03,263,263
KBTO_003010_06D06B_C08,263,263
KBTO_003010_06B07D_C03,263,263
KBTO_002009_06D06B_B08,263,263
KBTO_002009_06B07D_B03,263,263
KBTO_001008_06D06B_A08,263,263
KBTO_001008_06B07D_A03,263,263
